fullName,email,password,staffCategory,title,department
"Dr. Adebisi Akinola","adebisi.akinola@bouesti.edu.ng","Staff@12345","Academic Staff","Senior Lecturer","Business Education"
"Dr. Adetola Omotoso","adetola.omotoso@bouesti.edu.ng","Staff@12345","Academic Staff","Senior Lecturer","Department of Mechanical Engineering"
"Dr. Chika Umeh","chika.umeh@bouesti.edu.ng","Staff@12345","Academic Staff","Lecturer I","Department of Building Technology"
"Dr. Chinedu Okafor","chinedu.okafor@bouesti.edu.ng","Staff@12345","Academic Staff","Lecturer I","Social Sciences Education"
"Dr. Damilola Fasina","damilola.fasina@bouesti.edu.ng","Staff@12345","Academic Staff","Associate Professor","Educational Technology"
"Dr. Dolapo Adebusoye","dolapo.adebusoye@bouesti.edu.ng","Staff@12345","Academic Staff","Senior Lecturer","Department of Entrepreneurial Arts"
"Dr. Emeka Nwosu","emeka.nwosu@bouesti.edu.ng","Staff@12345","Academic Staff","Lecturer II","Human Kinetics and Health Education"
"Dr. Eniola Ibitoye","eniola.ibitoye@bouesti.edu.ng","Staff@12345","Academic Staff","Lecturer II","Department of Entrepreneurial Studies"
"Dr. Funmilayo Adesina","funmilayo.adesina@bouesti.edu.ng","Staff@12345","Academic Staff","Associate Professor","Department of Tourism and Hospitality Management"
"Dr. Hauwa Sani","hauwa.sani@bouesti.edu.ng","Staff@12345","Academic Staff","Lecturer I","Arts Education"
"Dr. Ifeoluwa Ajibola","ifeoluwa.ajibola@bouesti.edu.ng","Staff@12345","Academic Staff","Associate Professor","Educational Foundations and Management"
"Dr. Kehinde Olusanya","kehinde.olusanya@bouesti.edu.ng","Staff@12345","Academic Staff","Senior Lecturer","Language Education"
"Dr. Mojisola Akinsiwaju","mojisola.akinsiwaju@bouesti.edu.ng","Staff@12345","Academic Staff","Senior Lecturer","Department of Chemical Sciences"
"Dr. Nnamdi Eze","nnamdi.eze@bouesti.edu.ng","Staff@12345","Academic Staff","Associate Professor","Department of Computing and Information Science"
"Dr. Omolara Sodeinde","omolara.sodeinde@bouesti.edu.ng","Staff@12345","Academic Staff","Lecturer I","Department of Mathematical Sciences"
"Dr. Ruth Akinyemi","ruth.akinyemi@bouesti.edu.ng","Staff@12345","Academic Staff","Lecturer II","Department of Economics"
"Dr. Sade Balogun","sade.balogun@bouesti.edu.ng","Staff@12345","Academic Staff","Senior Lecturer","Department of Management Sciences"
"Dr. Tosin Alabi","tosin.alabi@bouesti.edu.ng","Staff@12345","Academic Staff","Lecturer I","Department of Media and Performing Studies"
"Dr. Uche Maduka","uche.maduka@bouesti.edu.ng","Staff@12345","Academic Staff","Associate Professor","Department of Peace and Security Studies"
"Dr. Victoria Alonge","victoria.alonge@bouesti.edu.ng","Staff@12345","Academic Staff","Lecturer II","Department of Political Science and International Diplomacy"
"Dr. Wale Fadipe","wale.fadipe@bouesti.edu.ng","Staff@12345","Academic Staff","Senior Lecturer","Department of Spatial and Planning Sciences"
"Dr. Yetunde Ogunleye","yetunde.ogunleye@bouesti.edu.ng","Staff@12345","Academic Staff","Senior Lecturer","Department of Computing and Information Science"
"Dr. Yinka Owolabi","yinka.owolabi@bouesti.edu.ng","Staff@12345","Academic Staff","Lecturer I","Department of Civil Engineering"
"Dr. Zainab Danjuma","zainab.danjuma@bouesti.edu.ng","Staff@12345","Academic Staff","Associate Professor","Department of Electrical/Electronics Engineering"
"Engr. Ganiyu Bello","ganiyu.bello@bouesti.edu.ng","Staff@12345","Academic Staff","Senior Lecturer","Science Education"
"Engr. Kabiru Sule","kabiru.sule@bouesti.edu.ng","Staff@12345","Academic Staff","Lecturer I","Department of Food Science and Technology"
"Mr. Bamidele Arowolo","bamidele.arowolo@bouesti.edu.ng","Staff@12345","Non Teaching Staff","Account Officer","Bursary Department"
"Mr. David Onifade","david.onifade@bouesti.edu.ng","Staff@12345","Non Teaching Staff","Senior Library Officer","University Library"
